venta_id,fecha,cliente_id,producto_id,monto,cantidad
1,01/01/2025,104,203,10000,3
2,02/01/2025,,201,30000,4
3,03/01/2025,101,201,20000,2
4,04/01/2025,102,201,40000,4
5,05/01/2025,104,204,10000,4
6,06/01/2025,101,204,20000,1
7,07/01/2025,101,201,10000,
8,08/01/2025,102,204,,4
9,09/01/2025,,202,30000,4
10,10/01/2025,,203,30000,4
11,11/01/2025,102,203,abc,4
12,12/01/2025,103,204,40000,1
13,13/01/2025,,204,30000,3
14,14/01/2025,103,202,30000,4
15,15/01/2025,,204,30000,2
16,16/01/2025,104,204,10000,4
17,17/01/2025,,202,,3
18,18/01/2025,103,204,30000,4
19,19/01/2025,,201,10000,3
20,20/01/2025,103,203,abc,3
21,21/01/2025,,203,,1
22,22/01/2025,102,203,20000,
23,23/01/2025,102,201,,1
24,24/01/2025,101,203,10000,2
25,25/01/2025,102,203,30000,4
26,26/01/2025,102,202,40000,1
27,27/01/2025,102,201,10000,1
28,28/01/2025,102,201,abc,1
29,29/01/2025,101,201,40000,2
30,30/01/2025,,201,40000,3
31,31/01/2025,102,203,40000,
32,01/02/2025,101,202,10000,
33,02/02/2025,101,204,40000,3
34,03/02/2025,104,204,20000,1
35,04/02/2025,103,202,30000,2
36,05/02/2025,102,201,10000,1
37,06/02/2025,101,203,20000,1
38,07/02/2025,104,203,abc,3
39,08/02/2025,102,202,30000,
40,09/02/2025,102,203,40000,4
41,10/02/2025,104,202,abc,1
42,11/02/2025,,203,,3
43,12/02/2025,101,202,abc,2
44,13/02/2025,102,203,30000,4
45,14/02/2025,104,201,20000,4
46,15/02/2025,,201,30000,2
47,16/02/2025,103,203,,
48,17/02/2025,,203,10000,
49,18/02/2025,101,201,,
50,19/02/2025,104,202,40000,1
51,20/02/2025,102,203,,2
52,21/02/2025,103,201,40000,1
53,22/02/2025,101,203,30000,2
54,23/02/2025,,204,10000,3
55,24/02/2025,102,201,10000,3
56,25/02/2025,103,204,10000,
57,26/02/2025,103,202,10000,3
58,27/02/2025,102,201,30000,
59,28/02/2025,101,201,abc,1
60,01/03/2025,102,204,10000,3
61,02/03/2025,104,204,abc,
62,03/03/2025,,203,20000,
63,04/03/2025,104,204,30000,2
64,05/03/2025,102,201,20000,2
65,06/03/2025,104,204,30000,2
66,07/03/2025,101,203,abc,2
67,08/03/2025,101,204,20000,
68,09/03/2025,103,202,40000,4
69,10/03/2025,103,203,,
70,11/03/2025,102,201,20000,2
71,12/03/2025,104,204,,2
72,13/03/2025,,201,20000,2
73,14/03/2025,103,201,30000,3
74,15/03/2025,101,201,abc,
75,16/03/2025,101,203,20000,4
76,17/03/2025,102,203,10000,3
77,18/03/2025,102,204,30000,4
78,19/03/2025,104,204,,4
79,20/03/2025,101,201,20000,3
80,21/03/2025,101,203,30000,4
81,22/03/2025,,202,10000,1
82,23/03/2025,103,204,10000,3
83,24/03/2025,,202,,1
84,25/03/2025,104,202,40000,2
85,26/03/2025,104,201,abc,1
86,27/03/2025,101,202,20000,1
87,28/03/2025,104,203,,4
88,29/03/2025,,202,10000,
89,30/03/2025,104,203,abc,1
90,31/03/2025,,203,10000,1
91,01/04/2025,,202,40000,1
92,02/04/2025,,201,30000,1
93,03/04/2025,102,202,abc,2
94,04/04/2025,101,203,40000,1
95,05/04/2025,,204,30000,2
96,06/04/2025,103,203,abc,4
97,07/04/2025,101,201,30000,4
98,08/04/2025,103,201,abc,
99,09/04/2025,,201,10000,1
100,10/04/2025,102,204,10000,2
101,11/04/2025,102,203,,1
102,12/04/2025,101,201,abc,4
103,13/04/2025,103,204,30000,3
104,14/04/2025,,204,30000,2
105,15/04/2025,,204,abc,2
106,16/04/2025,101,202,30000,1
107,17/04/2025,,204,40000,1
108,18/04/2025,102,201,,2
109,19/04/2025,,203,10000,2
110,20/04/2025,102,203,10000,4
111,21/04/2025,101,204,abc,4
112,22/04/2025,103,201,40000,4
113,23/04/2025,104,202,abc,
114,24/04/2025,102,202,40000,3
115,25/04/2025,103,203,40000,4
116,26/04/2025,,202,abc,1
117,27/04/2025,,204,10000,3
118,28/04/2025,103,203,,3
119,29/04/2025,103,201,40000,1
120,30/04/2025,101,202,,3
121,01/05/2025,102,202,20000,3
122,02/05/2025,103,201,abc,2
123,03/05/2025,103,202,abc,1
124,04/05/2025,101,204,40000,2
125,05/05/2025,102,204,30000,
126,06/05/2025,103,202,30000,4
127,07/05/2025,,203,30000,2
128,08/05/2025,101,204,30000,
129,09/05/2025,102,203,30000,1
130,10/05/2025,103,201,10000,1
131,11/05/2025,102,203,30000,1
132,12/05/2025,,201,20000,3
133,13/05/2025,103,203,,1
134,14/05/2025,101,204,30000,
135,15/05/2025,101,201,40000,2
136,16/05/2025,102,203,,
137,17/05/2025,101,203,10000,1
138,18/05/2025,102,201,10000,3
139,19/05/2025,104,204,,4
140,20/05/2025,102,203,,3
141,21/05/2025,102,201,,2
142,22/05/2025,,204,20000,4
143,23/05/2025,,203,20000,2
144,24/05/2025,104,204,40000,2
145,25/05/2025,101,204,40000,3
146,26/05/2025,104,201,,1
