venta_sk,venta_id,fecha_sk,cliente_sk,producto_sk,cantidad,monto
1,1,20250101,4,3,3,10000.00
2,3,20250103,1,1,2,20000.00
3,4,20250104,2,1,4,40000.00
4,5,20250105,4,4,4,10000.00
5,6,20250106,1,4,1,20000.00
6,12,20250112,3,4,1,40000.00
7,14,20250114,3,2,4,30000.00
8,16,20250116,4,4,4,10000.00
9,18,20250118,3,4,4,30000.00
10,24,20250124,1,3,2,10000.00
11,25,20250125,2,3,4,30000.00
12,26,20250126,2,2,1,40000.00
13,27,20250127,2,1,1,10000.00
14,29,20250129,1,1,2,40000.00
15,33,20250202,1,4,3,40000.00
16,34,20250203,4,4,1,20000.00
17,35,20250204,3,2,2,30000.00
18,36,20250205,2,1,1,10000.00
19,37,20250206,1,3,1,20000.00
20,40,20250209,2,3,4,40000.00
21,44,20250213,2,3,4,30000.00
22,45,20250214,4,1,4,20000.00
23,50,20250219,4,2,1,40000.00
24,52,20250221,3,1,1,40000.00
25,53,20250222,1,3,2,30000.00
26,55,20250224,2,1,3,10000.00
27,57,20250226,3,2,3,10000.00
28,60,20250301,2,4,3,10000.00
29,63,20250304,4,4,2,30000.00
30,64,20250305,2,1,2,20000.00
31,65,20250306,4,4,2,30000.00
32,68,20250309,3,2,4,40000.00
33,70,20250311,2,1,2,20000.00
34,73,20250314,3,1,3,30000.00
35,75,20250316,1,3,4,20000.00
36,76,20250317,2,3,3,10000.00
37,77,20250318,2,4,4,30000.00
38,79,20250320,1,1,3,20000.00
39,80,20250321,1,3,4,30000.00
40,82,20250323,3,4,3,10000.00
41,84,20250325,4,2,2,40000.00
42,86,20250327,1,2,1,20000.00
43,94,20250404,1,3,1,40000.00
44,97,20250407,1,1,4,30000.00
45,100,20250410,2,4,2,10000.00
46,103,20250413,3,4,3,30000.00
47,106,20250416,1,2,1,30000.00
48,110,20250420,2,3,4,10000.00
49,112,20250422,3,1,4,40000.00
50,114,20250424,2,2,3,40000.00
51,115,20250425,3,3,4,40000.00
52,119,20250429,3,1,1,40000.00
53,121,20250501,2,2,3,20000.00
54,124,20250504,1,4,2,40000.00
55,126,20250506,3,2,4,30000.00
56,129,20250509,2,3,1,30000.00
57,130,20250510,3,1,1,10000.00
58,131,20250511,2,3,1,30000.00
59,135,20250515,1,1,2,40000.00
60,137,20250517,1,3,1,10000.00
61,138,20250518,2,1,3,10000.00
62,144,20250524,4,4,2,40000.00
63,145,20250525,1,4,3,40000.00
64,149,20250529,2,2,3,40000.00
65,150,20250530,3,1,3,40000.00
66,152,20250601,1,3,1,20000.00
67,153,20250602,1,3,1,40000.00
68,154,20250603,4,3,4,10000.00
69,157,20250606,1,3,4,10000.00
70,160,20250609,3,2,4,30000.00
71,163,20250612,3,1,4,30000.00
72,164,20250613,1,2,4,10000.00
73,165,20250614,4,3,2,40000.00
74,170,20250619,4,3,2,10000.00
75,174,20250623,3,1,3,40000.00
76,176,20250625,3,3,3,30000.00
77,178,20250627,4,3,4,20000.00
78,182,20250701,3,2,2,10000.00
79,183,20250702,2,2,2,40000.00
80,186,20250705,4,2,4,40000.00
81,187,20250706,1,1,1,10000.00
82,189,20250708,3,3,1,40000.00
83,194,20250713,4,3,3,30000.00
84,197,20250716,4,2,2,30000.00
