venta_id,fecha,cliente_id,producto_id,monto,cantidad,cliente_informado,venta_valida
1,2025-01-01,104,203,10000.00,3,1,1
2,2025-01-02,NULL,201,30000.00,4,0,0
3,2025-01-03,101,201,20000.00,2,1,1
4,2025-01-04,102,201,40000.00,4,1,1
5,2025-01-05,104,204,10000.00,4,1,1
6,2025-01-06,101,204,20000.00,1,1,1
7,2025-01-07,101,201,10000.00,NULL,1,0
8,2025-01-08,102,204,NULL,4,1,0
9,2025-01-09,NULL,202,30000.00,4,0,0
10,2025-01-10,NULL,203,30000.00,4,0,0
11,2025-01-11,102,203,NULL,4,1,0
12,2025-01-12,103,204,40000.00,1,1,1
13,2025-01-13,NULL,204,30000.00,3,0,0
14,2025-01-14,103,202,30000.00,4,1,1
15,2025-01-15,NULL,204,30000.00,2,0,0
16,2025-01-16,104,204,10000.00,4,1,1
17,2025-01-17,NULL,202,NULL,3,0,0
18,2025-01-18,103,204,30000.00,4,1,1
19,2025-01-19,NULL,201,10000.00,3,0,0
20,2025-01-20,103,203,NULL,3,1,0
21,2025-01-21,NULL,203,NULL,1,0,0
22,2025-01-22,102,203,20000.00,NULL,1,0
23,2025-01-23,102,201,NULL,1,1,0
24,2025-01-24,101,203,10000.00,2,1,1
25,2025-01-25,102,203,30000.00,4,1,1
26,2025-01-26,102,202,40000.00,1,1,1
27,2025-01-27,102,201,10000.00,1,1,1
28,2025-01-28,102,201,NULL,1,1,0
29,2025-01-29,101,201,40000.00,2,1,1
30,2025-01-30,NULL,201,40000.00,3,0,0
31,2025-01-31,102,203,40000.00,NULL,1,0
32,2025-02-01,101,202,10000.00,NULL,1,0
33,2025-02-02,101,204,40000.00,3,1,1
34,2025-02-03,104,204,20000.00,1,1,1
35,2025-02-04,103,202,30000.00,2,1,1
36,2025-02-05,102,201,10000.00,1,1,1
37,2025-02-06,101,203,20000.00,1,1,1
38,2025-02-07,104,203,NULL,3,1,0
39,2025-02-08,102,202,30000.00,NULL,1,0
40,2025-02-09,102,203,40000.00,4,1,1
41,2025-02-10,104,202,NULL,1,1,0
42,2025-02-11,NULL,203,NULL,3,0,0
43,2025-02-12,101,202,NULL,2,1,0
44,2025-02-13,102,203,30000.00,4,1,1
45,2025-02-14,104,201,20000.00,4,1,1
46,2025-02-15,NULL,201,30000.00,2,0,0
47,2025-02-16,103,203,NULL,NULL,1,0
48,2025-02-17,NULL,203,10000.00,NULL,0,0
49,2025-02-18,101,201,NULL,NULL,1,0
50,2025-02-19,104,202,40000.00,1,1,1
51,2025-02-20,102,203,NULL,2,1,0
52,2025-02-21,103,201,40000.00,1,1,1
53,2025-02-22,101,203,30000.00,2,1,1
54,2025-02-23,NULL,204,10000.00,3,0,0
55,2025-02-24,102,201,10000.00,3,1,1
